name,color
Aberdeen City,#9ACD32
Aberdeenshire,#377DB8
Angus,#F5DEB3
Argyll and Bute,#EE82EE
Scottish Borders,#40E0D0
Clackmannanshire,#FF6347
West Dunbartonshire,#D8BFD8
Dumfries and Galloway,#D2B48C
Dundee City,#4682B4
East Ayrshire,#00FF7F
East Dunbartonshire,#ff2739
East Lothian,#ffea00
East Renfrewshire,#708090
Edinburgh City of,#6A5ACD
Falkirk,#87CEEB
Fife,#A0522D
Glasgow City,#FFF5EE
Highland,#2E8B57
Inverclyde,#F4A460
Midlothian,#FA8072
Moray,#9ACD32
North Ayrshire,#377DB8
North Lanarkshire,#F5DEB3
Orkney Islands,#EE82EE
Perth and Kinross,#40E0D0
Renfrewshire,#FF6347
Shetland Islands,#D8BFD8
South Ayrshire,#D2B48C
South Lanarkshire,#4682B4
Stirling,#00FF7F
West Lothian,#ff2739
Eilean Siar,#ffea00
